Feature ID	Taxon	Confidence
f0ef96bdea0473bc21cce98767f548fa	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Kordiimonadales;D_4__uncultured;D_5__bacterium endosymbiont of Osedax mucofloris;D_6__bacterium endosymbiont of Osedax mucofloris	0.999999963403426
bf96a9ec42ba86926714575989bed1e8	D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira;D_3__Nitrospirales;D_4__Nitrospiraceae;D_5__Nitrospira;D_6__uncultured Cytophaga sp.	0.7396232999272008
342ba3312b63a3ad0e77380db327abc0	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__BD7-8	0.8976483073401188
3db1f78506d300c6aab71a0fc0c73f89	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Kordiimonadales;D_4__uncultured;D_5__bacterium endosymbiont of Osedax mucofloris;D_6__bacterium endosymbiont of Osedax mucofloris	0.9999999775896102
613748b1e7b2e2056441830f0a044c9d	D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae;D_5__Candidatus Nitrosopumilus	0.9999448594439592
6ab5b3ceda3b4ca3bdef8d2b26b7d593	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Kordiimonadales;D_4__uncultured;D_5__bacterium endosymbiont of Osedax mucofloris;D_6__bacterium endosymbiont of Osedax mucofloris	0.9999999776354402
bb919a04cb9484d76657d2d19bf563ec	D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira;D_3__Nitrospirales;D_4__Nitrospiraceae;D_5__Nitrospira;D_6__uncultured Cytophaga sp.	0.737018318448726
3b20ccf47953b05bd84c11b70805070a	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodovibrionales;D_4__Kiloniellaceae;D_5__uncultured	0.9999374794521517
b6c03a0a204eb8c5bfa4734c8912d0de	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodovibrionales;D_4__Kiloniellaceae;D_5__uncultured	0.9999603012245469
103c49fa448a9ed7b54e3a5fc1f92a0d	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	0.9999999999978253
1d6541038b0c4873144dd5bc4c4d0e2d	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Steroidobacterales;D_4__Woeseiaceae;D_5__Woeseia	0.9937289671231178
